,廠牌,晶片品牌,顯存,名稱,價格
0,華碩,NVIDIA,,華碩 ROG Herculx 顯示卡支撐架 /氣泡水平儀/ARGB燈效/2年,1290
1,華碩,NVIDIA,,華碩 ROG Herculx 白色版 顯示卡支撐架 /氣泡水平儀/ARGB燈效/2年,1390
2,賽德斯,NVIDIA,,賽德斯 顯卡支撐架 /消光金屬灰/橫式直立雙用/支援雙顯卡,390
3,酷碼,NVIDIA,,酷碼 VGA Holder 顯卡用支架 千斤頂顯卡支撐架/,490
4,酷碼,NVIDIA,,酷碼 ARGB 強化玻璃 顯卡支撐架,790
5,酷碼,NVIDIA,,酷碼 ATLAS ARGB 顯卡支撐架 /無限鏡面強化玻璃/鋁製支架,1390
6,微星,NVIDIA,,微星 MPG ARGB 顯卡支撐架 黑 磁吸式底座/90度可旋轉設計,790
7,微星,NVIDIA,,微星 MPG ARGB 顯卡支撐架 白 磁吸式底座/90度可旋轉設計,790
8,,INTEL,10,Acer Nitro Intel ARC B570 OC 10GB,7690
9,,INTEL,12,INTEL 原廠 ARC B580 12G,8990
10,華擎,INTEL,12,華擎 ARC B580 Challenger 12G OC,9290
11,華擎,INTEL,12,華擎 ARC B580 Steel Legend 12G OC,10290
12,ACER,INTEL,16,ACER 宏�� Predator Arc A770 16G,9990
13,微星,NVIDIA,1,微星 N210-MD1G/D3,1250
14,華碩,NVIDIA,2,華碩 GT710-SL-2GD5-BRK-EVO,1790
15,技嘉,NVIDIA,2,技嘉 N710D3-2GL,1690
16,微星,NVIDIA,2,微星 GT710 2GD3H LP,1790
17,INNO3D,NVIDIA,1,INNO3D GT710 1GB DDR3,1388
18,INNO3D,NVIDIA,2,INNO3D GT710 2GB DDR3,1588
19,ZOTAC,NVIDIA,2,ZOTAC GT710-2GD3-L,1690
20,華碩,NVIDIA,2,華碩 GT730-SL-2GD5-BRK,2590
21,華碩,NVIDIA,2,華碩 GT730-4H-SL-2GD5,2890
22,微星,NVIDIA,2,微星 N730-2GD3V3,2590
23,INNO3D,NVIDIA,2,INNO3D GT730 2GB SDDR3,1888
24,ZOTAC,NVIDIA,2,ZOTAC GT730 2GB Zone Edition,2350
25,華碩,NVIDIA,2,華碩 GT1030-SL-2G-BRK,2890
26,微星,NVIDIA,2,微星 GT1030 2GD4 LP OC,2850
27,微星,NVIDIA,2,微星 GT1030 AERO ITX 2GD4 OCV1,3290
28,技嘉,NVIDIA,2,技嘉 GT1030 Low Profile D4 2G,2890
29,INNO3D,NVIDIA,2,INNO3D GT1030 2G,2488
30,ZOTAC,NVIDIA,2,ZOTAC GT1030 2GB GDDR5 HDMI/DVI Low Profile,2790
31,ZOTAC,NVIDIA,2,ZOTAC GT1030 2GB GDDR5 HDMI/VGA Low Profile,2790
32,華碩,NVIDIA,6,華碩 DUAL-RTX3050-O6G,6290
33,華碩,NVIDIA,6,華碩 RTX3050-O6G-LP-BRK,6390
34,技嘉,NVIDIA,6,技嘉 RTX3050 OC Low Profile 6G,5990
35,技嘉,NVIDIA,6,技嘉 RTX3050 WINDFORCE OC V2 6G,5990
36,微星,NVIDIA,6,微星 RTX3050 LP 6G OC,5990
37,微星,NVIDIA,6,微星 RTX3050 VENTUS 2X E 6G OC,5990
38,微星,NVIDIA,050,微星 RTX3050 GAMING X 6G,6190
39,ZOTAC,NVIDIA,6,ZOTAC RTX3050 6GB GDDR6 Solo,5890
40,ZOTAC,NVIDIA,6,ZOTAC RTX3050 6GB GDDR6 LP,5990
41,ZOTAC,NVIDIA,6,ZOTAC RTX3050 6GB GDDR6 Twin Edge OC,5590
42,INNO3D,NVIDIA,6,INNO3D RTX3050 6GB TWIN X2,5488
43,微星,NVIDIA,8,微星 RTX3050 AERO ITX 8G OCV1,6890
44,微星,NVIDIA,8,微星 RTX3050 VENTUS 2X XS 8G OC,6990
45,ZOTAC,NVIDIA,,ZOTAC RTX3050 ECO SOLO,6390
46,INNO3D,NVIDIA,,INNO3D RTX3050 TWIN X2,6488
47,微星,NVIDIA,12,微星 RTX3060 VENTUS 2X 12G OC,8990
48,華碩,NVIDIA,8,華碩 DUAL-RTX4060-O8G-EVO-WHITE,10990
49,技嘉,NVIDIA,8,技嘉 RTX4060 D6 8G,9690
50,技嘉,NVIDIA,8,技嘉 RTX4060 OC Low Profile 8G,10490
51,微星,NVIDIA,8,微星 RTX4060 CYCLONE 8G OC 金螳螂,9690
52,ZOTAC,NVIDIA,8,ZOTAC RTX4060 8GB SOLO,9390
53,華碩,NVIDIA,8,華碩 DUAL-RTX4060TI-O8G-EVO,13690
54,技嘉,NVIDIA,12,技嘉 RTX4070 SUPER WINDFORCE OC 12G,21990
55,華碩,NVIDIA,8,華碩 DUAL-RTX5060-O8G,10990
56,華碩,NVIDIA,8,華碩 PRIME-RTX5060-O8G,11990
57,華碩,NVIDIA,8,華碩 TUF-RTX5060-O8G-GAMING,12990
58,技嘉,NVIDIA,8,技嘉 RTX5060 WINDFORCE 8G,10990
59,技嘉,NVIDIA,8,技嘉 RTX5060 WINDFORCE OC 8G,11290
60,技嘉,NVIDIA,8,技嘉 RTX5060 OC Low Profile 8G,11990
61,技嘉,NVIDIA,8,技嘉 RTX5060 EAGLE OC 8G,11890
62,技嘉,NVIDIA,8,技嘉 RTX5060 EAGLE OC ICE 8G 白,12290
63,技嘉,NVIDIA,060,技嘉 RTX5060 GAMING OC 8G,12590
64,技嘉,NVIDIA,8,技嘉 RTX5060 AERO OC 8G,12990
65,技嘉,NVIDIA,8,技嘉 AORUS RTX5060 ELITE 8G,13290
66,微星,NVIDIA,8,微星 RTX5060 8G VENTUS 2X OC,10990
67,微星,NVIDIA,8,微星 RTX5060 8G CYCLONE OC 雪螳螂【獨家】,10990
68,微星,NVIDIA,8,微星 RTX5060 8G VENTUS 3X OC,11990
69,微星,NVIDIA,8,微星 RTX5060 8G GAMING TRIO OC,12990
70,ZOTAC,NVIDIA,,ZOTAC RTX5060 SOLO,10990
71,ZOTAC,NVIDIA,,ZOTAC RTX5060 AMP,11888
72,INNO3D,NVIDIA,8,INNO3D RTX5060 8GB TWIN X2,10990
73,華碩,NVIDIA,8,華碩 DUAL-RTX5060TI-O8G,13790
74,華碩,NVIDIA,8,華碩 PRIME-RTX5060TI-O8G,15990
75,華碩,NVIDIA,8,華碩 TUF-RTX5060TI-O8G-GAMING,16990
76,技嘉,NVIDIA,8,技嘉 RTX5060Ti WINDFORCE 8G,13790
77,技嘉,NVIDIA,8,技嘉 RTX5060Ti WINDFORCE OC 8G,13790
78,技嘉,NVIDIA,8,技嘉 RTX5060Ti EAGLE OC 8G,14990
79,技嘉,NVIDIA,8,技嘉 RTX5060Ti EAGLE OC ICE 8G 白,15490
80,技嘉,NVIDIA,8,技嘉 RTX5060Ti GAMING OC 8G,15990
81,技嘉,NVIDIA,8,技嘉 RTX5060Ti AERO OC 8G 白,16490
82,微星,NVIDIA,8,微星 RTX5060Ti 8G VENTUS 2X PLUS,13790
83,微星,NVIDIA,8,微星 RTX5060Ti 8G VENTUS 2X OC PLUS,14500
84,微星,NVIDIA,8,微星 RTX5060Ti 8G CYCLONE OC 雪螳螂【獨家】,14500
85,微星,NVIDIA,8,微星 RTX5060Ti 8G VENTUS 3X OC,14990
86,微星,NVIDIA,8,微星 RTX5060Ti 8G GAMING TRIO OC,15990
87,微星,NVIDIA,8,微星 RTX5060Ti 8G GAMING TRIO OC WHITE 白,16990
88,ZOTAC,NVIDIA,8,ZOTAC RTX5060Ti 8GB Twin Edge,13790
89,ZOTAC,NVIDIA,8,ZOTAC RTX5060Ti 8GB Twin Edge OC,14490
90,ZOTAC,NVIDIA,8,ZOTAC RTX5060Ti 8GB AMP,15490
91,INNO3D,NVIDIA,8,INNO3D RTX5060Ti 8GB TWIN X2,13790
