,品牌,名稱,型號,瓦數,適用機殼尺寸類型,模組化,價格
0,華碩,華碩 ROG STRIX 750W AURA 雙8/金牌/全模組/ATX3.0,ROG,750,ATX,2,5790
1,華碩,華碩 ROG STRIX 850W AURA 雙8/金牌/全模組/ATX3.0,ROG,850,ATX,2,6290
2,,Montech 創世紀 CENTURY 850W 雙8/金牌/全模組/全日系/10年保 原價$2990！,CENTURY,850,ATX,2,2990
3,,美洲獅 COUGAR ATLAS 750W 雙8/銅牌/主日系/DC-DC/5年保 原價$2090！,COUGAR,750,ATX,0,2090
4,,美洲獅 COUGAR GEX 750W 雙8/金牌/全模組/主日系/5年保 原價$2690！,COUGAR,750,ATX,2,2690
5,,美洲獅 COUGAR GEX 850W 雙8/金牌/全模組/主日系/5年保 原價$2990！,COUGAR,850,ATX,2,2990
6,,美洲獅 COUGAR GEX PRO 850W 雙8/金牌/全模組/ATX3.1,COUGAR,850,ATX,2,3590
7,,台達 超實在 1100W 雙8/白金/全模組/ATX3.0,1100W,1100,ATX,2,6990
8,,台達 超實在 1300W 雙8/白金/全模組/ATX3.0,1300W,1300,ATX,2,7990
9,,NZXT C750,NZXT,750,ATX,0,2490
10,,XPG CORE REACTOR II VE 750W 雙8/金牌/全模/ATX3.1,XPG,750,ATX,2,3190
11,,XPG CORE REACTOR II VE 850W 雙8/金牌/全模/ATX3.1,XPG,850,ATX,2,3490
12,,Apexgaming,AJ-750M,750,ATX,2,3290
13,,Apexgaming,STR750MW,750,ATX,2,3490
14,,銀欣 1200W 雙8/白金/全模組/14cm短機身/內含PCIe 5.0模組線/5年保,1200W,1200,ATX,2,3690
15,,❤ 提醒:非限用【SFX】電源或僅支援【ITX主機板】機殼,SFX,,SFX,0,
16,,"❤ 標註 ""雙8"" 意即代表這顆電供已內建CPU 供電",,,ATX,0,
17,華碩,華碩 ROG LOKI 750W 雙8/白金/ATX3.0,ROG,750,SFX,0,5990
18,華碩,華碩 ROG LOKI 850W 雙8/白金/ATX3.0,ROG,850,SFX,0,6990
19,華碩,華碩 ROG LOKI 850W 白色版 雙8/白金/ATX3.0,ROG,850,SFX,0,7490
20,華碩,華碩 ROG LOKI 1000W 雙8/白金/ATX3.0,ROG,1000,SFX,0,8490
21,華碩,華碩 ROG LOKI 1200W 雙8/鈦金/ATX3.1,ROG,1200,SFX,0,9990
22,,Apexgaming KR-750M,KR-750M,750,SFX,2,3990
23,,Apexgaming KR-850MW,KR-850MW,850,SFX,2,4490
24,,全漢 金鋼彈 650W 雙8/金牌/全模/全日系/DC-DC/10年保固【SFX規格】,650W,650,SFX,2,2890
