,品牌,名稱,型號,硬碟類型,尺寸,容量(GB),價格
0,,UMAX S330 240GB /2.5吋 讀:520MB寫:450MB/3D NAND Flash【三年保】,UMAX,SSD,2.5,240,468
1,,UMAX S330 480GB /2.5吋 讀:560MB寫:450MB/3D NAND Flash【三年保】,UMAX,SSD,2.5,480,868
2,,UMAX S330 960GB /2.5吋 讀:560MB寫:500MB/3D NAND Flash【三年保】,UMAX,SSD,2.5,960,1600
3,威剛,威剛 Ultimate SU650 240G/2.5吋/讀:520M/寫:450M/TLC顆粒【三年保】,SU650,SSD,2.5,,569
4,威剛,威剛 Ultimate SU650 480G/2.5吋/讀:520M/寫:450M/TLC顆粒【三年保】,SU650,SSD,2.5,,899
5,威剛,威剛 Ultimate SU800 256G/2.5吋/讀:560M/寫:520M/TLC/DRAM快取/SMI/台灣製【五年】,SU800,SSD,2.5,,999
6,威剛,威剛 Ultimate SU800 512G/2.5吋/讀:560M/寫:520M/TLC/DRAM快取/SMI/台灣製【五年】,SU800,SSD,2.5,,1499
7,威剛,威剛 Ultimate SU800 1TB/2.5吋/讀:560M/寫:520M/TLC/DRAM快取/SMI/台灣製【五年】,SU800,SSD,2.5,1024,2650
8,WD,WD Blue SA510 500GB,SA510,SSD,2.5,500,1300
9,WD,WD Blue SA510 1TB,SA510,SSD,2.5,1024,2100
10,金士頓,金士頓 A400 240G/2.5吋/讀:500M/寫:350M/TLC顆粒【三年保】,A400,SSD,2.5,,750
11,金士頓,金士頓 A400 480G/2.5吋/讀:500M/寫:450M/TLC顆粒【三年保】,A400,SSD,2.5,,1050
12,金士頓,金士頓 A400 960G/2.5吋/讀:500M/寫:450M/TLC顆粒【三年保】,A400,SSD,2.5,,1780
13,金士頓,金士頓 SKC600 256G/2.5吋/讀:550M/寫:500M/SMI/3D TLC【五年保】,SKC600,SSD,2.5,,880
14,金士頓,金士頓 SKC600 512G/2.5吋/讀:550M/寫:520M/SMI/3D TLC【五年保】,SKC600,SSD,2.5,,1600
15,金士頓,金士頓 SKC600 1024G/2.5吋/讀:550M/寫:520M/SMI/3D TLC【五年保】,SKC600,SSD,2.5,,2850
16,金士頓,金士頓 SKC600 2048G/2.5吋/讀:550M/寫:520M/SMI/3D TLC【五年保】,SKC600,SSD,2.5,,5300
17,,❤ 【活動】買十銓全系列商品就送皮革卡套包,,SSD,,,
18,十銓,十銓 T-Force Vulcan Z 火神Z 256G/2.5吋 讀520MB:寫450MB/3D NAND/TLC【三年保】,256G,SSD,2.5,,559
19,十銓,十銓 T-Force Vulcan Z 火神Z 512G/2.5吋 讀540MB:寫470MB/3D NAND/TLC【三年保】,512G,SSD,2.5,,1099
20,十銓,十銓 T-Force Vulcan Z 火神Z 1TB/2.5吋 讀550MB:寫500MB/3D NAND/TLC【三年保】,NAND,SSD,2.5,1024,1699
21,十銓,十銓 T-Force Vulcan Z 火神Z 2TB/2.5吋 讀550MB:寫500MB/3D NAND/TLC【三年保】,NAND,SSD,2.5,2048,3299
22,十銓,十銓 T-Force Vulcan Z 火神Z 4TB/2.5吋 讀550MB:寫500MB/3D NAND/TLC【三年保】,NAND,SSD,2.5,4096,6499
23,,宏�� Acer RE100 256GB /2.5吋 讀562M 寫528M/TLC【五年保】,RE100,SSD,2.5,256,690
24,,宏�� Acer RE100 512GB /2.5吋 讀562M 寫529M/TLC【五年保】,RE100,SSD,2.5,512,999
25,,宏�� Acer RE100 1TB /2.5吋 讀557M 寫515M/TLC【五年保】,RE100,SSD,2.5,1024,1890
26,,宏�� Acer RE100 2TB /2.5吋 讀557M 寫515M/TLC【五年保】,RE100,SSD,2.5,2048,3350
27,,❤ [官網活動] 買美光全系列登錄享星巴客飲料券 另可參加抽大獎【關島六日雙人遊】活動,,SSD,,,
28,美光,美光Micron Crucial BX500 240G/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】,BX500,SSD,2.5,,650
29,美光,美光Micron Crucial BX500 500G/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】,BX500,SSD,2.5,,999
30,美光,美光Micron Crucial BX500 1TB/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】,BX500,SSD,2.5,1024,1890
31,美光,美光Micron Crucial BX500 2TB/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】,BX500,SSD,2.5,2048,3699
32,美光,美光Micron Crucial BX500 4TB/2.5吋/讀:540M/寫:500M/TLC顆粒【三年保】,BX500,SSD,2.5,4096,7388
33,,❤ 【活動】買三星2.5吋SSD就送2.5吋轉3.5吋轉接架,,SSD,2.5,,
34,三星,三星 Samsung 870 EVO 500G/2.5吋/讀:560/寫:530/TLC/【五年保】星睿奇,500G,SSD,2.5,,1899
35,三星,三星 Samsung 870 EVO 1TB/2.5吋/讀:560/寫:530/TLC/【五年保】星睿奇,3499,SSD,2.5,1024,3499
36,三星,三星 Samsung 870 EVO 2TB/2.5吋/讀:560/寫:530/TLC/【五年保】星睿奇,6190,SSD,2.5,2048,6190
37,三星,三星 Samsung 870 EVO 4TB/2.5吋/讀:560/寫:530/TLC/【五年保】星睿奇,11999,SSD,2.5,4096,11999
38,三星,三星 Samsung 870 QVO 4TB/2.5吋/讀:560/寫:530/QLC/【三年保】星睿奇,11499,SSD,2.5,4096,11499
39,三星,三星 Samsung 870 QVO 8TB/2.5吋/讀:560/寫:530/QLC/【三年保】星睿奇,22999,SSD,2.5,8192,22999
40,,❤ 【活動】買T-FORCE GEN5系列就送時尚休閒後背包,-FORCE,SSD,,,
41,十銓,十銓 T-Force GC PRO,12500M,SSD,,2048,6499
42,十銓,十銓 T-Force GC PRO,12500M,SSD,,4096,13990
43,十銓,十銓 T-ForceZ540黑武士,11700M,SSD,,1024,4599
44,十銓,十銓 T-ForceZ540黑武士,12400M,SSD,,2048,6599
45,威剛,威剛 ADATA LEGEND 970pro 1TB/Gen5/讀:13000M/寫:9500M高效能散熱器【五年】▼下殺到 6/19 10:00,ADATA,SSD,,1024,4380
46,威剛,威剛 ADATA LEGEND 970pro 2TB/Gen5/讀:14000M/寫:10000M高效能散熱【五年】▼下殺到 6/19 10:00,ADATA,SSD,,2048,6659
47,威剛,威剛 XPG MARS 980Blade 1TB/Gen5/讀:14000M/寫:10000M/SMI2508主控台積電6nm製程【五年】,MARS,SSD,,1024,4380
48,威剛,威剛 XPG MARS 980Blade 2TB/Gen5/讀:14000M/寫:13000M/SMI2508主控台積電6nm製程【五年】,MARS,SSD,,2048,6659
49,威剛,威剛 XPG MARS 980Blade 4TB/Gen5/讀:14000M/寫:13000M/SMI2508主控台積電6nm製程【五年】,MARS,SSD,,4096,11999
50,,宏�淲cer Predator GM9000 1TB/Gen5/14000M/10500M/TLC/SMI/TSMC 6nm【五年,GM9000,SSD,,1024,4580
51,,宏�淲cer Predator GM9000 2TB/Gen5/14000M/13000M/TLC/SMI/TSMC 6nm【五年,GM9000,SSD,,2048,7480
52,,宏�淲cer Predator GM9000 4TB/Gen5/14000M/13000M/TLC/SMI/TSMC 6nm【五年,GM9000,SSD,,4096,15280
53,,❤ 凡購買金士頓KC3000 /FURY SSD即送多功能充電線收納組,FURY,SSD,,,
54,金士頓,金士頓 FURY Renegade Gen5 1TB/讀:14200/寫:11000/TLC【五年保】DRAM快取,FURY,SSD,,1024,5700
55,金士頓,金士頓 FURY Renegade Gen5 2TB/讀:14700/寫:14000/TLC【五年保】DRAM快取,FURY,SSD,,2048,9300
56,金士頓,金士頓 FURY Renegade Gen5 4TB/讀:14800/寫:14000/TLC【五年保】DRAM快取,FURY,SSD,,4096,17600
57,美光,美光 Micron Crucial T700 4TB Gen5 PCIe 5.0 讀:12400/寫:11800/TLC【五年保】,T700,SSD,,4096,14600
58,美光,美光 Micron Crucial T700 1TB含散熱片 Gen5 PCIe 5.0 讀:11700/寫:9500/TLC【五年保】,T700,SSD,,1024,4950
59,美光,美光 Micron Crucial T700 2TB含散熱片 Gen5 PCIe 5.0 讀:12400/寫:11800/TLC【五年保】,T700,SSD,,2048,8299
60,美光,美光 Micron Crucial T700 4TB含散熱片 Gen5 PCIe 5.0 讀:12400/寫:11800【五年保】,T700,SSD,,4096,15299
61,美光,美光 Micron Crucial T705 2TB Gen5 PCIe 5.0 讀:14500/寫:12700/TLC【五年保】,T705,SSD,,2048,8888
62,美光,美光 Micron Crucial T705 4TB Gen5 PCIe 5.0 讀:14100/寫:12600/TLC【五年保】,T705,SSD,,4096,17888
63,美光,美光 Micron Crucial T705 1TB含散熱片 Gen5 PCIe 5.0 讀:13000/寫:10200/TLC【五年保】,T705,SSD,,1024,5999
64,美光,美光 Micron Crucial T705 2TB含散熱片 Gen5 PCIe 5.0 讀:14500/寫:12700/TLC【五年保】,T705,SSD,,2048,9388
65,美光,美光 Micron Crucial T705 4TB含散熱片 Gen5 PCIe 5.0 讀:14100/寫:12600【五年保】,T705,SSD,,4096,18380
66,,微星 SPATIUM M560 1TB/Gen5/讀:10200M/寫:8400M/TLC顆粒【五年保】,SPATIUM,SSD,,1024,3990
67,,微星 SPATIUM M560 2TB/Gen5/讀:10300M/寫:8700M/TLC顆粒~登錄可兌換遊戲序號~,SPATIUM,SSD,,2048,6590
68,,微星 SPATIUM M570 PRO FROZR 2TB Gen5讀:12400/寫:11800【五年】DRAM/散熱片,SPATIUM,SSD,,2048,7490
69,,微星 SPATIUM M580 FROZR 2TB Gen5 PCIe 5.0 讀:14600/寫:12700【五年】DRAM快取,SPATIUM,SSD,,2048,9390
70,,微星 SPATIUM M580 FROZR 4TB Gen5 PCIe 5.0 讀:14100/寫:12600【五年】DRAM快取,SPATIUM,SSD,,4096,17990
71,三星,三星 Samsung 9100PRO 2TB/PCIe 5.0 x4/讀:14700/寫:13400/TLC【五年保】,9100PRO,SSD,,2048,9559
72,三星,三星 Samsung 9100PRO 4TB/PCIe 5.0 x4/讀:14800/寫:13400/TLC【五年保】,9100PRO,SSD,,4096,17509
73,,↪ [原廠活動]登錄送Uber/Uber eat通用券$3000,3000,SSD,,,3000
74,三星,三星 Samsung 9100PRO 1TB含散熱片/PCIe 5.0 x4/讀:14700/寫:13300/TLC【五年保】,9100PRO,SSD,,1024,6999
75,,↪ [原廠活動]登錄送Uber/Uber eat通用券$1000,1000,SSD,,,1000
76,三星,三星 Samsung 9100PRO 2TB含散熱片/PCIe 5.0 x4/讀:14700/寫:13400/TLC【五年保】,9100PRO,SSD,,2048,9789
77,,↪ [原廠活動]登錄送Uber/Uber eat通用券$1500,1500,SSD,,,1500
78,三星,三星 Samsung 9100PRO 4TB含散熱片/PCIe 5.0 x4/讀:14800/寫:13400/TLC【五年保】,9100PRO,SSD,,4096,17799
79,,UMAX M1250 1TB/Gen4 PCIe 4.0/讀:5100M/寫:4500M【五年】TLC/銅箔散熱單面設計,UMAX,SSD,,1024,1899
80,,UMAX M1350 1TB/Gen4 PCIe 4.0/讀:7400M/寫:6100M【五年】TLC/銅箔散熱單面設計,UMAX,SSD,,1024,2299
81,,UMAX M1350 2TB/Gen4 PCIe 4.0/讀:7400M/寫:6400M【五年】TLC/銅箔散熱單面設計,UMAX,SSD,,2048,3299
82,,UMAX M1500 1TB/Gen4 PCIe 4.0/讀:7000M/寫:5500M【五年】DRAM快取/銅箔散/單面,UMAX,SSD,,1024,2480
83,,UMAX M1500 2TB/Gen4 PCIe 4.0/讀:7000M/寫:6850M【五年】DRAM快取/銅箔散/單面,UMAX,SSD,,2048,3990
84,,UMAX M1500 4TB/Gen4 PCIe 4.0/讀:7200M/寫:6850M【五年】DRAM快取/銅箔散/單面,UMAX,SSD,,4096,8800
85,威剛,威剛 ADATA LEGEND 860 500GB/Gen4/讀:5000M/寫:3000M/【五年保】,ADATA,SSD,,500,1299
86,威剛,威剛 ADATA LEGEND 860 1TB/Gen4/讀:6000M/寫:4000M/【五年保】,ADATA,SSD,,1024,1799
87,威剛,威剛 ADATA LEGEND 860 2TB/Gen4/讀:6000M/寫:5000M/【五年保】,ADATA,SSD,,2048,3499
88,威剛,威剛 ADATA LEGEND 900 512GB/Gen4/讀:6200M/寫:2300M/五年,ADATA,SSD,,512,1299
89,威剛,威剛 ADATA LEGEND 900 1TB/Gen4/讀:7000M/寫:4700M/五年保,ADATA,SSD,,1024,1999
90,威剛,威剛 ADATA LEGEND 900 2TB/Gen4/讀:7000M/寫:5400M/五年保,ADATA,SSD,,2048,3599
91,威剛,威剛 XPG S50 Core 500G/Gen4/讀:3500M/寫:2200M【三年保】贈散熱片,500G,SSD,,,1190
92,威剛,威剛 XPG S50 Core 1TB/Gen4/讀:3500M/寫:2200M【三年保】贈散熱片,3500M,SSD,,1024,1699
93,威剛,威剛 XPG S50 Core 2TB/Gen4/讀:3500M/寫:2800M/【三年保】贈散熱片,3500M,SSD,,2048,3299
94,威剛,威剛 XPG S60 PRO 512G/Gen4/讀:5000M/寫:2700M/SMI主控【五年保】贈散熱片,512G,SSD,,,1299
95,威剛,威剛 XPG S60 PRO 1TB/Gen4/讀:5000M/寫:4500M/SMI主控【五年保】贈散熱片,5000M,SSD,,1024,2199
96,威剛,威剛 XPG S60 PRO 2TB/Gen4/讀:5000M/寫:4500M/SMI主控【五年保】贈散熱片,5000M,SSD,,2048,3999
97,威剛,威剛 XPG S70 BLADE 512G/Gen4/讀:7200M/寫:2600M/ DRAM快取【五年保】贈散熱片,BLADE,SSD,,,1699
98,威剛,威剛 XPG S70 BLADE 1T/Gen4/讀:7400M/寫:5500M/ DRAM快取【五年保】贈散熱片,BLADE,SSD,,,2599
99,威剛,威剛 XPG S70 BLADE 2T/Gen4/讀:7400M/寫:6400M/ DRAM快取【五年保】贈散熱片,BLADE,SSD,,,4399
100,威剛,威剛 XPG S70 PRO 1TB黑/Gen4/讀:7400/寫:6000/SMI主控/DRAM快取/五年/贈散熱片,7400,SSD,,1024,2449
101,威剛,威剛 XPG S70 PRO 2TB黑/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片,7400,SSD,,2048,4088
102,威剛,威剛 XPG S70 PRO 4TB黑/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片,7400,SSD,,4096,8999
103,威剛,威剛 XPG S70 PRO 2TB白/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片,7400,SSD,,2048,4088
104,威剛,威剛 XPG S70 PRO 4TB白/Gen4/讀:7400/寫:6800/SMI主控/DRAM快取/五年/贈散熱片,7400,SSD,,4096,8999
105,,宏�� Acer FA200 1TB /Gen4 /讀:7200M/寫:6200M/QLC顆粒【五年保】,FA200,SSD,,1024,1899
106,,宏�� Acer FA200 2TB /Gen4 /讀:7200M/寫:6200M/QLC顆粒【五年保】,FA200,SSD,,2048,3599
107,,宏�� Acer FA200 4TB /Gen4 /讀:7100M/寫:6100M/QLC顆粒【五年保】,FA200,SSD,,4096,7299
