,label,component
0,特價 or 活動專區,"華碩 ROG STRIX 750W AURA 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/10年保 原價$5790！, $3990 ◆ ★"
1,特價 or 活動專區,"華碩 ROG STRIX 850W AURA 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/10年保 原價$6290！, $4490 ◆ ★"
2,特價 or 活動專區,"Montech 創世紀 CENTURY 850W 雙8/金牌/全模組/全日系/10年保 原價$2990！, $2490 ◆ ★"
3,特價 or 活動專區,"美洲獅 COUGAR ATLAS 750W 雙8/銅牌/主日系/DC-DC/5年保 原價$2090！, $1690 ◆ ★"
4,特價 or 活動專區,"美洲獅 COUGAR GEX 750W 雙8/金牌/全模組/主日系/5年保 原價$2690！, $2290 ◆ ★"
5,特價 or 活動專區,"美洲獅 COUGAR GEX 850W 雙8/金牌/全模組/主日系/5年保 原價$2990！, $2590 ◆ ★"
6,特價 or 活動專區,"美洲獅 COUGAR GEX PRO 850W 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保▼下殺到 5/31 21:00, $3590↘$3090 ◆ ★"
7,特價 or 活動專區,"台達 超實在 1100W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 原價$6990！, $5390 ◆ ★"
8,特價 or 活動專區,"台達 超實在 1300W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 原價$7990！, $6390 ◆ ★"
9,特價 or 活動專區,"NZXT C750(750W)雙8/銅牌/直出線/DC-DC/5+2年保內換新 原價$2490！, $1690 ◆ ★"
10,特價 or 活動專區,"XPG CORE REACTOR II VE 750W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/7年保 原價$3190, $2790 ◆ ★"
11,特價 or 活動專區,"XPG CORE REACTOR II VE 850W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/7年保 原價$3490, $3190 ◆ ★"
12,特價 or 活動專區,"Apexgaming(首利) AJ-750M(750W) 雙8/金牌/全模/全日系/智慧停轉/10年保 原價$3290, $2490 ◆ ★"
13,特價 or 活動專區,"Apexgaming(首利) STR750MW(750W) 白色/雙8/金牌/全模/全日系/10年保 原價$3490, $2590 ◆ ★"
14,特價 or 活動專區,"銀欣 1200W 雙8/白金/全模組/14cm短機身/內含PCIe 5.0模組線/5年保(ST1200-PTS), $3690 ◆ ★"
15,特規 SFX SFX-L 電源供應器,"❤ 提醒:非限用【SFX】電源或僅支援【ITX主機板】機殼,只需使用標準ATX電源供應器"
16,特規 SFX SFX-L 電源供應器,"❤ 標註 ""雙8"" 意即代表這顆電供已內建CPU 供電(4+4)X2組"
17,特規 SFX SFX-L 電源供應器,"華碩 ROG LOKI 750W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】, $5990 ◆ ★"
