,label,component
0,桌上型記憶體 DDR5 單條,❤ XMP(極致記憶體設定檔，由Intel支持) / EXPO(超頻延伸設定檔，由AMD支持)
1,桌上型記憶體 DDR5 單條,"UMAX 單條8GB DDR5-4800/CL40 支援 XMP, $619 ◆ ★"
2,桌上型記憶體 DDR5 單條,"UMAX 單條16GB DDR5-4800/CL40 支援 XMP, $1139↘$1039 ◆ ★"
3,桌上型記憶體 DDR5 單條,"UMAX 單條32GB DDR5-4800/CL40 支援 XMP, $2199↘$2099 ◆ ★"
4,桌上型記憶體 DDR5 單條,"UMAX 單條8GB DDR5-5600/CL46【雙參數】, $629 ◆ ★"
5,桌上型記憶體 DDR5 單條,"UMAX 單條16GB DDR5-5600/CL46【雙參數】, $1099 ◆ ★ 熱賣"
6,桌上型記憶體 DDR5 單條,"UMAX 單條16GB DDR5-6000/CL30【雙參數】, $1439 ◆ ★"
7,桌上型記憶體 DDR5 單條,"UMAX 單條32GB DDR5-5600/CL46【雙參數】, $2100 ◆ ★ 熱賣"
8,桌上型記憶體 DDR5 單條,"UMAX 單條32GB DDR5-6000/CL30【雙參數】, $2799 ◆ ★"
9,桌上型記憶體 DDR5 單條,"❤ [官網活動] 買威剛/XPG商品可參加【APPLE Macbook Air、旅遊金$12,000】抽獎活動"
10,桌上型記憶體 DDR5 單條,"威剛 單條8GB DDR5-4800/CL40 (AD5U48008G-S) 支援 XMP, $729 ◆ ★ 熱賣"
11,桌上型記憶體 DDR5 單條,"威剛 單條8GB DDR5-5600/CL46 (AD5U56008G-S)【雙參數】, $829 ◆ ★"
12,桌上型記憶體 DDR5 單條,"威剛 單條16GB DDR5-4800/CL40 (AD5U480016G-S) 支援 XMP, $1199↘$1100 ◆ ★ 熱賣"
13,桌上型記憶體 DDR5 單條,"威剛 單條16GB DDR5-5600/CL46 (AD5U560016G-S)【雙參數】, $1299↘$1200 ◆ ★"
14,桌上型記憶體 DDR5 單條,"威剛 單條 16GB DDR5 5600 XPG Lancer Blade(矮版散熱片)/CL46黑【雙參數】, $1299↘$1200 ◆ ★ 熱賣"
15,桌上型記憶體 DDR5 單條,"威剛 單條 16GB DDR5 6000 XPG Lancer Blade(矮版散熱片)/CL48黑【雙參數】, $1349 ◆ ★ 熱賣"
16,桌上型記憶體 DDR5 單條,"威剛 單條32GB DDR5-4800/CL40 (AD5U480032G-S) 支援 XMP, $2299↘$2200 ◆ ★ 熱賣"
17,桌上型記憶體 DDR5 單條,"威剛 單條32GB DDR5-5600/CL46 (AD5U560032G-S)【雙參數】, $2499↘$2400 ◆ ★ 熱賣"
18,桌上型記憶體 DDR5 單條,"金士頓 單條16GB DDR5-4800/CL40 【雙參數】少量, $1370 ◆ ★ 熱賣"
19,桌上型記憶體 DDR5 單條,"金士頓 單條16GB DDR5-5600/CL46 【雙參數】, $1280↘$1250 ◆ ★ 熱賣"
20,桌上型記憶體 DDR5 單條,"金士頓 單條32GB DDR5-5600/CL46 【雙參數】, $2480↘$2400 ◆ ★ 熱賣"
21,桌上型記憶體 DDR5 單條,"金士頓 單條16GB DDR5-5600(CL36) FURY Beast (獸獵者)【雙參數】, $1350 ◆ ★"
22,桌上型記憶體 DDR5 單條,"金士頓 單條16GB DDR5-6000(CL30) FURY Beast Black (獸獵者)【雙參數】, $1700 ◆ ★ 熱賣"
23,桌上型記憶體 DDR5 單條,"KLEVV(科賦) 單條16GB DDR5-5600/CL46 【雙參數】, $1200 ◆ ★ 熱賣"
24,桌上型記憶體 DDR5 單條,❤ 【活動】買十銓全系列商品就送皮革卡套包
25,桌上型記憶體 DDR5 單條,"十銓ELITE 單條16GB DDR5 5600/CL46(TED516G5600C4601) 【雙參數】, $1188 ◆ ★"
26,桌上型記憶體 DDR5 單條,❤ [官網活動] 買美光全系列登錄享星巴客飲料券 另可參加抽大獎【關島六日雙人遊】活動
27,桌上型記憶體 DDR5 單條,"美光Micron Crucial 單條16GB DDR5 5600/CL46 (原生顆粒)【雙參數】, $1199 ◆ ★"
28,桌上型記憶體 DDR5 單條,"美光Micron Crucial 單條32GB DDR5 5600/CL46 (原生顆粒)【雙參數】, $2399 ◆ ★"
29,桌上型記憶體 DDR5 單條,"美光Micron Crucial 單條64GB DDR5 5600/CL46 (原生顆粒)【雙參數】, $4999 ◆ ★ 熱賣"
30,桌上型記憶體 DDR5 雙通道,"UMAX 16GB(雙通8GB*2) DDR5 4800/CL40 含散熱片 支援 XMP, $1350 ◆ ★"
31,桌上型記憶體 DDR5 雙通道,"UMAX 32GB(雙通16GB*2) DDR5 4800/CL40 含散熱片 支援 XMP, $2299 ◆ ★ 熱賣"
32,桌上型記憶體 DDR5 雙通道,"UMAX 64GB(雙通32GB*2) DDR5 4800/CL40 含散熱片 支援 XMP, $4399 ◆ ★"
33,桌上型記憶體 DDR5 雙通道,"UMAX 16GB(雙通8GB*2) DDR5 5600/CL46 含散熱片【雙參數】, $1350 ◆ ★"
34,桌上型記憶體 DDR5 雙通道,"UMAX 32GB(雙通16GB*2) DDR5 5600/CL46 含散熱片【雙參數】, $2299 ◆ ★ 熱賣"
35,桌上型記憶體 DDR5 雙通道,"UMAX 32GB(雙通16GB*2) DDR5 6000/CL30 含散熱片【雙參數】, $2799 ◆ ★ 熱賣"
36,桌上型記憶體 DDR5 雙通道,"UMAX 64GB(雙通32GB*2) DDR5 5600/CL46 含散熱片【雙參數】, $4399 ◆ ★"
37,桌上型記憶體 DDR5 雙通道,"UMAX 64GB(雙通32GB*2) DDR5 6000/CL30 含散熱片【雙參數】, $5699 ◆ ★"
38,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 5600 XPG Lancer Blade(矮版散熱片)/CL46黑【雙參數】, $2598 ◆ ★ 熱賣"
39,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 5600 XPG Lancer Blade(矮版散熱片)/CL46白【雙參數】, $2598 ◆ ★ 熱賣"
40,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 5600 XPG Lancer/CL36 黑【雙參數】, $2899 ◆ ★ 熱賣"
41,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 5600 XPG Lancer/CL36 白【雙參數】, $2899 ◆ ★ 熱賣"
42,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer Blade(矮版散熱片)/CL48黑【雙參數】, $2699 ◆ ★ 熱賣"
43,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer Blade(矮版散熱片)/CL48白【雙參數】, $2699 ◆ ★ 熱賣"
44,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer Blade(矮版散熱片)/CL30黑【雙參數】▼下殺到 6/19 10:00, $3359↘$3199 ◆ ★ 熱賣"
45,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer Blade(矮版散熱片)/CL30白【雙參數】▼下殺到 6/19 10:00, $3359↘$3199 ◆ ★ 熱賣"
46,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) D5 6000 XPG Lancer Blade(矮版)/CL28黑【AMD首選】【雙參數】, $3899 ◆ ★ 熱賣"
47,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) D5 6000 XPG Lancer Blade(矮版)/CL28白【AMD首選】【雙參數】, $3899 ◆ ★ 熱賣"
48,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer Blade RGB(矮版)/CL30黑【雙參數】▼下殺到 6/19 10:00, $3599↘$3359 ◆ ★ 熱賣"
49,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer Blade RGB(矮版)/CL30白【雙參數】▼下殺到 6/19 10:00, $3599↘$3359 ◆ ★ 熱賣"
50,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) D5 6000 XPG Lancer Blade RGB(矮版)/CL28黑【雙參數】, $4099 ◆ ★ 熱賣"
51,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) D5 6000 XPG Lancer Blade RGB(矮版)/CL28白【雙參數】, $4099 ◆ ★ 熱賣"
52,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer/CL30 黑【雙參數】▼下殺到 6/19 10:00, $3499↘$3299 ◆ ★ 熱賣"
53,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer/CL30 白【雙參數】▼下殺到 6/19 10:00, $3499↘$3299 ◆ ★ 熱賣"
54,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer RGB/CL30 黑【雙參數】▼下殺到 6/19 10:00, $3699↘$3459 ◆ ★ 熱賣"
55,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer RGB/CL30 白【雙參數】▼下殺到 6/19 10:00, $3699↘$3459 ◆ ★ 熱賣"
56,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6000 XPG Lancer RGB/CL30(RO姬)黑【雙參數】, $3299 ◆ ★"
57,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) D5 6000 XPG Lancer RGB/CL28黑【AMD首選】【雙參數】, $4280 ◆ ★ 熱賣"
58,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) D5 6000 XPG Lancer RGB/CL28白【AMD首選】【雙參數】, $4280 ◆ ★ 熱賣"
59,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6400 XPG Lancer Blade(矮版散熱片)/CL32黑【雙參數】, $3799 ◆ ★"
60,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6400 XPG LancerRGB/CL32黑【雙參數】, $3899 ◆ ★ 熱賣"
61,桌上型記憶體 DDR5 雙通道,"威剛 32GB(雙通16GB*2) DDR5 6400 XPG LancerRGB/CL32白【雙參數】, $3899 ◆ ★ 熱賣"
62,桌上型記憶體 DDR5 雙通道,"威剛 48GB(雙通24GB*2) DDR5 6000 XPG Lancer Blade RGB/CL30 黑【雙參數】, $4759 ◆ ★ 熱賣"
63,桌上型記憶體 DDR5 雙通道,"威剛 48GB(雙通24GB*2) DDR5 6000 XPG Lancer Blade RGB/CL30 白【雙參數】, $4759 ◆ ★ 熱賣"
64,桌上型記憶體 DDR5 雙通道,"威剛 48GB(雙通24GB*2) DDR5 6400 XPG Lancer Blade RGB/CL32 黑【雙參數】, $4999 ◆ ★ 熱賣"
65,桌上型記憶體 DDR5 雙通道,"威剛 48GB(雙通24GB*2) DDR5 6400 XPG Lancer Blade RGB/CL32 白【雙參數】, $4999 ◆ ★ 熱賣"
66,桌上型記憶體 DDR5 雙通道,"威剛 64GB(雙通32GB*2) DDR5 5600 XPG Lancer Blade(矮版散熱片)/CL46黑【雙參數】, $4899 ◆ ★ 熱賣"
67,桌上型記憶體 DDR5 雙通道,"威剛 64GB(雙通32GB*2) DDR5 5600 XPG Lancer/CL36 白【雙參數】, $5599 ◆ ★ 熱賣"
68,桌上型記憶體 DDR5 雙通道,"威剛 64GB(雙通32GB*2) DDR5 6000 XPG Lancer Blade(矮版散熱片)/CL30黑【雙參數】▼下殺到 6/19 10:00, $6489↘$6380 ◆ ★ 熱賣"
69,桌上型記憶體 DDR5 雙通道,"威剛 64GB(雙通32GB*2) DDR5 6000 XPG Lancer Blade(矮版散熱片)/CL30白【雙參數】▼下殺到 6/19 10:00, $6489↘$6380 ◆ ★ 熱賣"
