id,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD)
0,AArch64,833,4213,NA,NA
1,AArch64 rev 2 (aarch64),"2,409",2993,NA,NA
2,AArch64 rev 4 (aarch64),"1,813",3364,NA,NA
3,AC8257V/WAB,788,4263,NA,NA
4,AC8259V/WAB,910,4124,NA,NA
5,Allwinner A133,668,4413,NA,NA
6,Allwinner A523,"1,906",3297,NA,NA
7,Allwinner A527,"2,297",3053,NA,NA
8,Allwinner A733,"3,392",2511,NA,NA
9,Allwinner H618,623,4464,NA,NA
10,Allwinner h728,"1,953",3264,NA,NA
11,AMD 3015Ce,"2,099",3175,NA,NA
12,AMD 3015e,"2,657",2847,NA,NA
13,AMD 3020e,"2,412",2989,NA,NA
14,AMD 4700S,"17,756",899,NA,NA
15,AMD A10 Micro-6700T APU,"1,426",3637,NA,NA
16,AMD A10 PRO-7350B APU,"1,867",3325,NA,NA
17,AMD A10 PRO-7800B APU,"3,315",2545,NA,NA
18,AMD A10 PRO-7850B APU,"3,441",2487,23.25,$148.02*
19,AMD A10-4600M APU,"1,943",3271,26.98,$72.02*
20,AMD A10-4655M APU,"1,651",3475,NA,NA
21,AMD A10-4657M APU,"1,759",3408,NA,NA
22,AMD A10-5700 APU,"2,739",2800,40.27,$68.02
23,AMD A10-5745M APU,"1,771",3398,NA,NA
24,AMD A10-5750M APU,"2,062",3199,26.42,$78.02
25,AMD A10-5757M APU,"1,996",3243,NA,NA
26,AMD A10-5800B APU,"3,057",2662,67.96,$44.99*
27,AMD A10-5800K APU,"2,955",2703,37.88,$78.02*
28,AMD A10-6700 APU,"3,112",2639,31.75,$98.02*
29,AMD A10-6700T APU,"2,299",3051,26.12,$88.02*
30,AMD A10-6790K APU,"3,108",2642,74.01,$42.00*
31,AMD A10-6800B APU,"3,155",2619,24.64,$128.02*
32,AMD A10-6800K APU,"3,199",2603,29.62,$108.02
33,AMD A10-7300 APU,"1,744",3414,NA,NA
34,AMD A10-7400P,"2,120",3163,NA,NA
35,AMD A10-7700K APU,"3,181",2607,24.85,$128.02
36,AMD A10-7800 APU,"3,216",2596,107.24,$29.99*
37,AMD A10-7850K APU,"3,388",2517,25.10,$134.99
38,AMD A10-7860K,"3,269",2571,61.84,$52.87*
39,AMD A10-7870K,"3,496",2471,6.76,$517.20*
40,AMD A10-7890K,"3,550",2452,26.07,$136.17*
41,AMD A10-8700P,"2,248",3089,NA,NA
42,AMD A10-8750,"3,244",2578,NA,NA
43,AMD A10-8850,"3,438",2489,NA,NA
44,AMD A10-9600P,"2,359",3019,NA,NA
45,AMD A10-9620P,"2,521",2925,NA,NA
46,AMD A10-9630P,"2,946",2708,NA,NA
47,AMD A10-9700,"3,556",2451,26.30,$135.22*
48,AMD A10-9700E,"3,235",2588,25.27,$128.02
49,AMD A12-9700P,"2,427",2978,NA,NA
50,AMD A12-9720P,"2,639",2855,NA,NA
51,AMD A12-9730P,"3,027",2671,NA,NA
52,AMD A12-9800,"3,684",2413,66.99,$55.00*
53,AMD A12-9800E,"3,471",2480,25.15,$138.02*
54,AMD A4 Micro-6400T APU,"1,082",3943,NA,NA
55,AMD A4 PRO-3340B,"1,709",3431,NA,NA
56,AMD A4 PRO-7300B APU,"1,458",3610,NA,NA
57,AMD A4 PRO-7350B,"1,544",3556,NA,NA
58,AMD A4-1200 APU,375,4751,NA,NA
59,AMD A4-1250 APU,418,4689,NA,NA
60,AMD A4-1350 APU,911,4122,NA,NA
61,AMD A4-3300 APU,965,4067,17.04,$56.61
62,AMD A4-3300M APU,723,4344,24.11,$29.99*
63,AMD A4-3305M APU,762,4293,36.62,$20.81*
64,AMD A4-3310MX APU,782,4272,NA,NA
65,AMD A4-3320M APU,668,4415,17.12,$39.00*
66,AMD A4-3330MX APU,756,4302,NA,NA
67,AMD A4-3400 APU,"1,089",3931,13.63,$79.95
68,AMD A4-3420 APU,"1,067",3967,7.84,$136.00*
69,AMD A4-4000 APU,"1,157",3870,58.01,$19.95*
70,AMD A4-4020 APU,"1,269",3756,12.05,$105.37*
71,AMD A4-4300M APU,977,4056,32.73,$29.86*
72,AMD A4-4355M APU,806,4237,NA,NA
73,AMD A4-5000 APU,"1,286",3741,NA,NA
74,AMD A4-5050 APU,"1,328",3706,NA,NA
75,AMD A4-5100 APU,"1,260",3766,NA,NA
76,AMD A4-5150M APU,957,4074,NA,NA
77,AMD A4-5300 APU,"1,366",3679,50.69,$26.95*
78,AMD A4-5300B APU,"1,254",3772,48.33,$25.95*
79,AMD A4-6210 APU,"1,506",3587,NA,NA
80,AMD A4-6250J APU,"1,671",3459,NA,NA
81,AMD A4-6300 APU,"1,422",3644,33.84,$42.02
82,AMD A4-6300B APU,"1,328",3707,47.51,$27.95*
83,AMD A4-6320 APU,"1,530",3566,21.86,$69.99*
84,AMD A4-7210 APU,"1,663",3466,NA,NA
85,AMD A4-7300 APU,"1,534",3563,83.05,$18.47*
86,AMD A4-9120,"1,224",3797,NA,NA
87,AMD A4-9120C,864,4177,NA,NA
88,AMD A4-9120e,854,4188,NA,NA
89,AMD A4-9125,"1,207",3815,NA,NA
90,AMD A6 Micro-6500T APU,"1,146",3882,NA,NA
91,AMD A6 PRO-7050B APU,"1,010",4026,NA,NA
92,AMD A6 PRO-7400B,"1,640",3480,NA,NA
93,AMD A6-1450 APU,"1,054",3978,NA,NA
94,AMD A6-3400M APU,"1,218",3804,49.81,$24.45*
95,AMD A6-3410MX APU,"1,270",3755,318.39,$3.99*
96,AMD A6-3420M APU,"1,302",3728,NA,NA
97,AMD A6-3430MX APU,"1,389",3664,NA,NA
98,AMD A6-3500 APU,"1,438",3625,23.88,$60.23
99,AMD A6-3600 APU,"1,697",3442,68.02,$24.95*
100,AMD A6-3620 APU,"1,869",3323,83.09,$22.49*
101,AMD A6-3650 APU,"2,090",3184,16.33,$128.00*
102,AMD A6-3670 APU,"2,182",3132,39.70,$54.95*
103,AMD A6-4400M APU,998,4036,40.02,$24.95*
104,AMD A6-4455M APU,792,4258,NA,NA
105,AMD A6-5200 APU,"1,673",3455,NA,NA
106,AMD A6-5345M APU,"1,122",3901,NA,NA
107,AMD A6-5350M APU,"1,199",3822,36.20,$33.12*
108,AMD A6-5357M APU,"1,192",3833,NA,NA
109,AMD A6-5400B APU,"1,459",3609,50.43,$28.94*
110,AMD A6-5400K APU,"1,276",3751,26.01,$49.04*
111,AMD A6-6310 APU,"1,682",3453,NA,NA
112,AMD A6-6400B APU,"1,639",3482,NA,NA
