id,Videocard Name,Passmark G3D Mark(higher is better),Rank(lower is better),Videocard Value(higher is better),Price(USD)
0,256MB DDR Radeon 9800 XT,37,2434,NA,NA
1,6FDF:FF,9528,261,NA,NA
2,7900 MOD - Radeon HD 6520G,610,1585,NA,NA
3,7900 MOD - Radeon HD 6550D,892,1313,NA,NA
4,A10-12Q,9493,262,NA,NA
5,A10-8Q,7038,342,NA,NA
6,A16,5280,436,NA,NA
7,A16-1Q,3275,617,NA,NA
8,A16-2B,2317,769,NA,NA
9,A16-2Q,4747,487,NA,NA
10,A16-4Q,4493,509,NA,NA
11,A40-24Q,3317,612,NA,NA
12,A40-48Q,10436,239,NA,NA
13,A6 Micro-6500T Quad-Core APU with RadeonR4,220,2008,NA,NA
14,ABIT Siluro T400,3,2629,NA,NA
15,ALL-IN-WONDER 9000,4,2596,NA,NA
16,ALL-IN-WONDER 9800,23,2502,NA,NA
17,ALL-IN-WONDER RADEON 8500DV,5,2582,NA,NA
18,All-in-Wonder X1800XL,30,2474,NA,NA
19,All-in-Wonder X1900,127,2157,NA,NA
20,ALL-IN-WONDER X800 GT,84,2278,NA,NA
21,AMD Ryzen Z1 Extreme,6514,362,NA,NA
22,AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3,2654,NA,NA
23,ASUS A7000,9,2542,NA,NA
24,ASUS AGP-V3800PRO v31.40H,4,2615,NA,NA
25,ASUS EAH4870x2,496,1735,NA,NA
26,Asus GTX 650 FML II EC-EGPU,720,1461,NA,NA
27,ASUS V9520-X V62.11,7,2553,NA,NA
28,B8DKMDAP,4557,500,NA,NA
29,Barco MXRT 1450,205,2028,NA,NA
30,Barco MXRT 2600,900,1309,4.52,$199.00*
31,Barco MXRT 5400,1161,1163,5.72,$203.00*
32,Barco MXRT 5450,1079,1195,5.40,$199.99*
33,Barco MXRT 5500,2701,695,9.04,$299.00*
34,Barco MXRT 5600,2465,736,3.50,$704.00*
35,Barco MXRT 7100,180,2051,NA,NA
36,Barco MXRT 7400,900,1307,9.10,$99.00*
37,Barco MXRT 7500,3753,564,12.55,$299.00*
38,Barco MXRT 7600,4943,470,8.20,$602.59*
39,BASICDISPLAY,69,2320,NA,NA
40,Beijing Fantasy Technology Fantasy II-M,259,1964,NA,NA
41,CARRIZO 9874,226,1996,NA,NA
42,Citrix Indirect Display Adapter,1888,902,NA,NA
43,CMP 30HX,6806,350,NA,NA
