,coolpc_id,coolpc_name,benchmark_name,mark,rank,value,benchmark_price
0,0,Intel Core Ultra 5 225F,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
1,0,Intel Core Ultra 5 225F,5,Allwinner A133,668,4413,nan
2,0,Intel Core Ultra 5 225F,22,AMD A10-5700 APU,"2,739",2800,40.27
3,0,Intel Core Ultra 5 225F,25,AMD A10-5757M APU,"1,996",3243,nan
4,0,Intel Core Ultra 5 225F,225,AMD Athlon 64 X2 Dual Core 6000+,936,4096,24.31
5,2,Intel Core Ultra 5 225,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
6,2,Intel Core Ultra 5 225,5,Allwinner A133,668,4413,nan
7,2,Intel Core Ultra 5 225,22,AMD A10-5700 APU,"2,739",2800,40.27
8,2,Intel Core Ultra 5 225,25,AMD A10-5757M APU,"1,996",3243,nan
9,2,Intel Core Ultra 5 225,225,AMD Athlon 64 X2 Dual Core 6000+,936,4096,24.31
10,4,Intel Core Ultra 5 235,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
11,4,Intel Core Ultra 5 235,3,AC8257V/WAB,788,4263,nan
12,4,Intel Core Ultra 5 235,5,Allwinner A133,668,4413,nan
13,4,Intel Core Ultra 5 235,23,AMD A10-5745M APU,"1,771",3398,nan
14,4,Intel Core Ultra 5 235,35,AMD A10-7700K APU,"3,181",2607,24.85
15,4,Intel Core Ultra 5 235,235,AMD Athlon 64 X2 QL-64,605,4483,nan
16,5,Intel Core Ultra 5 245KF,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
17,5,Intel Core Ultra 5 245KF,4,AC8259V/WAB,910,4124,nan
18,5,Intel Core Ultra 5 245KF,5,Allwinner A133,668,4413,nan
19,5,Intel Core Ultra 5 245KF,24,AMD A10-5750M APU,"2,062",3199,26.42
20,5,Intel Core Ultra 5 245KF,45,AMD A10-9620P,"2,521",2925,nan
21,5,Intel Core Ultra 5 245KF,245,AMD Athlon Dual Core 4450e,710,4360,49.03
22,6,Intel Core Ultra 5 245K,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
23,6,Intel Core Ultra 5 245K,4,AC8259V/WAB,910,4124,nan
24,6,Intel Core Ultra 5 245K,5,Allwinner A133,668,4413,nan
25,6,Intel Core Ultra 5 245K,24,AMD A10-5750M APU,"2,062",3199,26.42
26,6,Intel Core Ultra 5 245K,45,AMD A10-9620P,"2,521",2925,nan
27,6,Intel Core Ultra 5 245K,245,AMD Athlon Dual Core 4450e,710,4360,49.03
28,7,Intel Core Ultra 7 265KF,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
29,7,Intel Core Ultra 7 265KF,5,Allwinner A133,668,4413,nan
30,7,Intel Core Ultra 7 265KF,6,Allwinner A523,"1,906",3297,nan
31,7,Intel Core Ultra 7 265KF,7,Allwinner A527,"2,297",3053,nan
32,7,Intel Core Ultra 7 265KF,26,AMD A10-5800B APU,"3,057",2662,67.96
33,7,Intel Core Ultra 7 265KF,65,AMD A4-3320M APU,668,4415,17.12
34,7,Intel Core Ultra 7 265KF,265,AMD Athlon II N330 Dual-Core,665,4420,nan
35,12,Intel Core Ultra 7 265K,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
36,12,Intel Core Ultra 7 265K,5,Allwinner A133,668,4413,nan
37,12,Intel Core Ultra 7 265K,6,Allwinner A523,"1,906",3297,nan
38,12,Intel Core Ultra 7 265K,7,Allwinner A527,"2,297",3053,nan
39,12,Intel Core Ultra 7 265K,26,AMD A10-5800B APU,"3,057",2662,67.96
40,12,Intel Core Ultra 7 265K,65,AMD A4-3320M APU,668,4415,17.12
41,12,Intel Core Ultra 7 265K,265,AMD Athlon II N330 Dual-Core,665,4420,nan
42,17,Intel Core Ultra 9 285K,2,AArch64 rev 4 (aarch64),"1,813",3364,nan
43,17,Intel Core Ultra 9 285K,5,Allwinner A133,668,4413,nan
44,17,Intel Core Ultra 9 285K,8,Allwinner A733,"3,392",2511,nan
45,17,Intel Core Ultra 9 285K,9,Allwinner H618,623,4464,nan
46,17,Intel Core Ultra 9 285K,28,AMD A10-6700 APU,"3,112",2639,31.75
47,17,Intel Core Ultra 9 285K,85,AMD A4-7300 APU,"1,534",3563,83.05
48,17,Intel Core Ultra 9 285K,285,AMD Athlon II X2 250e,"1,202",3818,15.67
49,18,Intel Processor 300,0,AArch64,833,4213,nan
50,18,Intel Processor 300,3,AC8257V/WAB,788,4263,nan
51,18,Intel Processor 300,30,AMD A10-6790K APU,"3,108",2642,74.01
52,18,Intel Processor 300,300,AMD Athlon II X2 B28,"1,284",3744,32.9
53,19,Intel i3-14100F,0,AArch64,833,4213,nan
54,19,Intel i3-14100F,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
55,19,Intel i3-14100F,3,AC8257V/WAB,788,4263,nan
56,19,Intel i3-14100F,4,AC8259V/WAB,910,4124,nan
57,19,Intel i3-14100F,10,Allwinner h728,"1,953",3264,nan
58,19,Intel i3-14100F,14,AMD 4700S,"17,756",899,nan
59,19,Intel i3-14100F,41,AMD A10-8700P,"2,248",3089,nan
60,19,Intel i3-14100F,100,AMD A6-3620 APU,"1,869",3323,83.09
61,19,Intel i3-14100F,141,AMD A8-3820 APU,"2,185",3129,48.6
62,19,Intel i3-14100F,410,AMD C-30,178,5037,nan
63,19,Intel i3-14100F,1410,AMD Turion II Ultra Dual-Core Mobile M600,955,4079,56.97
64,19,Intel i3-14100F,4100,Intel Xeon L5420 @ 2.50GHz,"2,143",3151,77.91
65,20,Intel i3-14100,0,AArch64,833,4213,nan
66,20,Intel i3-14100,1,AArch64 rev 2 (aarch64),"2,409",2993,nan
67,20,Intel i3-14100,3,AC8257V/WAB,788,4263,nan
68,20,Intel i3-14100,4,AC8259V/WAB,910,4124,nan
69,20,Intel i3-14100,10,Allwinner h728,"1,953",3264,nan
70,20,Intel i3-14100,14,AMD 4700S,"17,756",899,nan
71,20,Intel i3-14100,41,AMD A10-8700P,"2,248",3089,nan
72,20,Intel i3-14100,100,AMD A6-3620 APU,"1,869",3323,83.09
73,20,Intel i3-14100,141,AMD A8-3820 APU,"2,185",3129,48.6
