,label,component
0,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"Intel Core Ultra 5 225F【10核】3.3G(↑4.9G)/20M/無內顯【代理盒裝】, $7990↘$7650 ◆ ★"
1,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"[強勢精選225F] Intel Core Ultra 5 225F【10核】=>搭華碩TUF GAMING B860M-PLUS, $6150 ★ 熱賣"
2,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"Intel Core Ultra 5 225【10核】3.3G(↑4.9G)/20M/內顯Xe-core【代理盒裝】, $8750↘$8400 ◆ ★"
3,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"[強勢精選225] Intel Core Ultra 5 225【10核】=>搭華碩TUF GAMING B860M-PLUS, $6900 ★ 熱賣"
4,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"Intel Core Ultra 5 235【14核】3.4G(↑5.0G)/24M/內顯Xe-core【代理盒】, $9300↘$9200 ◆ ★"
5,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"Intel Core Ultra 5 245KF【14核】4.2G(↑5.2G)/24M/無內顯/無風扇【代理盒裝】, $9650↘$9300 ◆ ★"
6,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"Intel Core Ultra 5 245K【14核】4.2G(↑5.2G)/24M/內顯Xe-core/無風扇【代理盒】, $9999↘$9600 ◆ ★"
7,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"Intel Core Ultra 7 265KF【20核】3.9G(↑5.5G)/30M/無內顯/無風扇【代理盒裝】, $11800↘$9400 ◆ ★"
8,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"[專案265KF] Intel Core Ultra 7 265KF【20核】3.9G =>搭技嘉Z890任選 5/31止, $7200 ★ 熱賣"
9,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"[專案265KF] Intel Core Ultra 7 265KF【20核】3.9G =>搭技嘉B860 AROUS系列5/31止, $8200 ★"
10,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"[專案265KF] Intel Core Ultra 7 265KF【20核】3.9G =>搭華碩AYW、ROG、ART Z890系列, $7700 ★ 熱賣"
11,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"[專案265KF] Intel Core Ultra 7 265KF【20核】3.9G =>搭華碩ROG.TUF B860系列, $8200 ★"
12,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"[專案265KF] Intel Core Ultra 7 265KF【20核】3.9G =>搭華擎Z890任選 5/20止, $7100 ★ 熱賣"
13,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"Intel Core Ultra 7 265K【20核】3.9G(↑5.5G)/30M/內顯Xe-core/無風扇【代理盒】, $12800↘$9990 ◆ ★"
14,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"[專案265K] Intel Core Ultra 7 265K【20核】3.9G =>搭技嘉Z890任選 5/31止, $7790 ★ 熱賣"
15,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"[專案265K] Intel Core Ultra 7 265K【20核】3.9G =>搭技嘉B860 AROUS系列5/31止, $8790 ★"
16,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"[專案265K] Intel Core Ultra 7 265K【20核】3.9G =>搭華碩AYW、ROG、ART Z890系列, $8290 ★ 熱賣"
17,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"[專案265K] Intel Core Ultra 7 265K【20核】3.9G =>搭華碩ROG.TUF B860系列, $8790 ★"
18,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"[專案265K] Intel Core Ultra 7 265K【20核】3.9G =>搭華擎Z890系列5/20止, $7690 ★ 熱賣"
19,Intel Core Ultra 200S系列1851 腳位【內建 NPU 支援 AI】,"Intel Core Ultra 9 285K【24核】3.7G(↑5.7G)/36M/內顯Xe-core/無風扇【代理盒】, $19600 ◆ ★"
20,Intel Raptor Lake-s 14代1700 腳位,"Intel Processor 300【2核/4緒】3.9GHz/6M/UHD710/46W【代理盒】, $2680 ◆ ★"
21,Intel Raptor Lake-s 14代1700 腳位,"Intel i3-14100F【4核/8緒】3.5GHz(↑4.7GHz)/20M/無內顯/58W 【代理盒裝】, $2880 ◆ ★"
22,Intel Raptor Lake-s 14代1700 腳位,"Intel i3-14100【4核/8緒】3.5GHz(↑4.7GHz)/20M/UHD730/60W 【代理盒裝】, $3480 ◆ ★"
23,Intel Raptor Lake-s 14代1700 腳位,"Intel i5-14400F【10核/16緒】2.5GHz(↑4.7G)/24M/無內顯/65W 【代理盒裝】, $4580 ◆ ★"
24,Intel Raptor Lake-s 14代1700 腳位,"Intel i5-14400【10核/16緒】2.5GHz(↑4.7G)/24M/UHD730/65W 【代理盒裝】, $5550 ◆ ★ 熱賣"
25,Intel Raptor Lake-s 14代1700 腳位,"Intel i5-14600KF【14核/20緒】3.5G(↑5.3G)/24M/無內顯/無風扇【代理盒裝】, $7200↘$6900 ◆ ★"
26,Intel Raptor Lake-s 14代1700 腳位,"i5-14600KF 任搭Z790主機板 (需跟主板在同一張發票開立)現折$300元, $6600 ◆ ★ 熱賣"
27,Intel Raptor Lake-s 14代1700 腳位,"Intel i5-14600K【14核/20緒】3.5G(↑5.3G)/24M/UHD770/無風扇【代理盒裝】, $7600↘$7300 ◆ ★"
28,Intel Raptor Lake-s 14代1700 腳位,"i5-14600K 任搭Z790主機板 (需跟主板在同一張發票開立)現折$300元, $7000 ◆ ★ 熱賣"
29,Intel Raptor Lake-s 14代1700 腳位,"Intel i7-14700F【20核/28緒】2.1GHz(↑5.4G)/33M/無內顯/65W 【代理盒裝】, $9680↘$9600 ◆ ★"
30,Intel Raptor Lake-s 14代1700 腳位,"Intel i7-14700【20核/28緒】2.1GHz(↑5.4G)/33M/UHD770/65W 【代理盒裝】, $10200 ◆ ★"
31,Intel Raptor Lake-s 14代1700 腳位,"Intel i7-14700KF【20核/28緒】3.4G(↑5.6G)/33M/無內顯/無風扇【代理盒裝】, $11200↘$11000 ◆ ★"
32,Intel Raptor Lake-s 14代1700 腳位,"i7-14700KF 任搭Z790主機板 (需跟主板在同一張發票開立)現折$450元, $10550 ◆ ★ 熱賣"
33,Intel Raptor Lake-s 14代1700 腳位,"Intel i7-14700K【20核/28緒】3.4G(↑5.6G)/33M/UHD770/無風扇【代理盒裝】, $12200↘$12000 ◆ ★"
34,Intel Raptor Lake-s 14代1700 腳位,"i7-14700K 任搭Z790主機板 (需跟主板在同一張發票開立)現折$450元, $11550 ◆ ★ 熱賣"
35,Intel Raptor Lake-s 14代1700 腳位,"Intel i9-14900KF【24核/32緒】3.2G(↑6.0G)/36M/無內顯/無風扇【代理盒裝】, $15300 ◆ ★"
36,Intel Raptor Lake-s 14代1700 腳位,"i9-14900KF 任搭Z790主機板 (需跟主板在同一張發票開立)現折$600元, $14700 ◆ ★ 熱賣"
37,Intel Raptor Lake-s 14代1700 腳位,"Intel i9-14900K【24核/32緒】3.2G(↑6.0G)/36M/UHD770/無風扇【代理盒裝】, $16400↘$15990 ◆ ★"
