,label,component
0,NVIDIA / AMD 顯示卡周邊配件,"華碩 ROG Herculx 顯示卡支撐架 /氣泡水平儀/ARGB燈效/2年(機殼需配置電源倉), $1290 ◆ ★"
1,NVIDIA / AMD 顯示卡周邊配件,"華碩 ROG Herculx 白色版 顯示卡支撐架 /氣泡水平儀/ARGB燈效/2年(機殼需配置電源倉), $1390 ◆ ★"
2,NVIDIA / AMD 顯示卡周邊配件,"賽德斯 顯卡支撐架 /消光金屬灰/橫式直立雙用/支援雙顯卡, $390 ◆ ★"
3,NVIDIA / AMD 顯示卡周邊配件,"酷碼 VGA Holder 顯卡用支架 千斤頂顯卡支撐架/(0005-KUH00), $490 ◆ ★"
4,NVIDIA / AMD 顯示卡周邊配件,"酷碼 ARGB 強化玻璃 顯卡支撐架(MCA-U000R-GSBTG-00), $790 ◆ ★"
5,NVIDIA / AMD 顯示卡周邊配件,"酷碼 ATLAS ARGB 顯卡支撐架 /無限鏡面強化玻璃/鋁製支架, $1390 ◆ ★"
6,NVIDIA / AMD 顯示卡周邊配件,"微星 MPG ARGB 顯卡支撐架 黑 磁吸式底座/90度可旋轉設計, $790 ◆ ★"
7,NVIDIA / AMD 顯示卡周邊配件,"微星 MPG ARGB 顯卡支撐架 白 磁吸式底座/90度可旋轉設計, $790 ◆ ★"
8,INTEL Arc B570 顯示卡,"Acer Nitro Intel ARC B570 OC 10GB(2690MHz/27cm/雙風扇/註三年), $7690 ◆ ★ 熱賣"
9,INTEL Arc B580 顯示卡,"INTEL 原廠 ARC B580 12G(2670MHz/27.2cm/雙風扇/三年保), $8990 ★ 熱賣"
10,INTEL Arc B580 顯示卡,"華擎 ARC B580 Challenger 12G OC(2740MHz/25cm/雙風扇/註三年), $9290 ◆ ★ ↓任搭300↓"
11,INTEL Arc B580 顯示卡,"華擎 ARC B580 Steel Legend 12G OC(2800MHz/30cm/三風扇/註三年), $10290 ◆ ★ ↓任搭100↓"
12,INTEL Arc A770 顯示卡,"ACER 宏�� Predator Arc A770 16G(2400MHz/27cm/三年)Predator散熱系統 *少量, $9990↘$8490 ★ 熱賣"
13,NVIDIA GeForce 210,"微星 N210-MD1G/D3(589MHz/1G DDR3/風扇版/14.5cm/三年保), $1250 ◆ ★"
14,NVIDIA GT710,"華碩 GT710-SL-2GD5-BRK-EVO(954MHz/2G DDR5/17cm/註冊四年保)保固最優, $1790 ◆ ★"
15,NVIDIA GT710,"技嘉 N710D3-2GL(954MHz/2G DDR3/14.4cm/三年保), $1690 ◆ ★"
16,NVIDIA GT710,"微星 GT710 2GD3H LP(954MHz/2G DDR3/靜音版/14.6cm/三年保), $1790 ◆ ★"
17,NVIDIA GT710,"INNO3D GT710 1GB DDR3(954MHz/靜音版/14cm/三年保固) 缺貨! 無痛升級 710-2GB, $1388 ◆ ★"
18,NVIDIA GT710,"INNO3D GT710 2GB DDR3(954MHz/靜音版/14cm/三年保固), $1588 ◆ ★"
19,NVIDIA GT710,"ZOTAC GT710-2GD3-L(71302-20L)(954MHz/2G DDR3/靜音版/14.6cm/註四年)三介面, $1690 ◆ ★"
20,NVIDIA GT730,"華碩 GT730-SL-2GD5-BRK(902MHz/2G DDR5/16.5cm/靜音版/註四年), $2590 ◆ ★ 熱賣"
21,NVIDIA GT730,"華碩 GT730-4H-SL-2GD5(927MHz/2G DDR5/14.8cm/靜音版/註四年) 4輸出 HDMI, $2890 ◆ ★"
22,NVIDIA GT730,"微星 N730-2GD3V3(700MHz/2G DDR3 128Bit/14.5cm/三年保)雪精靈系列, $2590 ◆ ★"
23,NVIDIA GT730,"INNO3D GT730 2GB SDDR3(902MHz/靜音版/14cm/三年保), $1888 ◆ ★ 熱賣"
24,NVIDIA GT730,"ZOTAC GT730 2GB Zone Edition(902MHz/2G DDR3/15cm/無風扇/註四年)三介面, $2350 ◆ ★"
25,NVIDIA GT1030,"華碩 GT1030-SL-2G-BRK(1468MHz/GDDR5/17cm/註四年), $2890 ◆ ★"
26,NVIDIA GT1030,"微星 GT1030 2GD4 LP OC(1430MHz/DDR4/15cm/三年保), $2850 ◆ ★"
27,NVIDIA GT1030,"微星 GT1030 AERO ITX 2GD4 OCV1(1430MHz/DDR4/15cm/三年保) 類比輸出, $3290 ◆ ★"
28,NVIDIA GT1030,"技嘉 GT1030 Low Profile D4 2G(1417MHz/GDDR4/15cm/單風扇), $2890 ◆ ★"
29,NVIDIA GT1030,"INNO3D GT1030 2G(1468MHz/GDDR5/17cm/三年保), $2488 ◆ ★"
30,NVIDIA GT1030,"ZOTAC GT1030 2GB GDDR5 HDMI/DVI Low Profile(P10300A-10L), $2790 ◆ ★"
31,NVIDIA GT1030,"ZOTAC GT1030 2GB GDDR5 HDMI/VGA Low Profile(P10300E-10L) 類比輸出, $2790 ◆ ★"
32,NVIDIA RTX3050-6GB,"華碩 DUAL-RTX3050-O6G(1537MHz/20cm/雙風扇/註四年)任搭優惠, $6290 ◆ ★ ↓任搭300↓"
33,NVIDIA RTX3050-6GB,"華碩 RTX3050-O6G-LP-BRK(1537MHz/18cm/雙風扇/註四年)薄型短卡-任搭優惠, $6390 ◆ ★ ↓任搭300↓"
34,NVIDIA RTX3050-6GB,"技嘉 RTX3050 OC Low Profile 6G(1477MHz/18cm/雙風扇/註四年)短卡四輸出, $5990 ◆ ★"
35,NVIDIA RTX3050-6GB,"技嘉 RTX3050 WINDFORCE OC V2 6G(N3050WF2OCV2-6GD), $5990 ◆ ★"
36,NVIDIA RTX3050-6GB,"微星 RTX3050 LP 6G OC(1492MHz/17.5cm/雙風扇/註四年)薄型設計.高度僅6.9cm, $5990 ◆ ★ ↓任搭100↓"
37,NVIDIA RTX3050-6GB,"微星 RTX3050 VENTUS 2X E 6G OC(1492MHz/19cm/雙風扇/註四年), $5990 ◆ ★ ↓任搭100↓"
38,NVIDIA RTX3050-6GB,"微星 RTX3050 GAMING X 6G(1507MHz/21cm/雙風扇/註五年), $6190 ◆ ★"
39,NVIDIA RTX3050-6GB,"ZOTAC RTX3050 6GB GDDR6 Solo(1470MHz/15cm/單風扇/註四年)滿料四輸出, $5890 ◆ ★ 熱賣"
40,NVIDIA RTX3050-6GB,"ZOTAC RTX3050 6GB GDDR6 LP(1470MHz/16cm/雙風扇/註四年) 短版設計, $5990 ◆ ★ ↓任搭500↓"
41,NVIDIA RTX3050-6GB,"ZOTAC RTX3050 6GB GDDR6 Twin Edge OC(1477MHz/16cm/雙風扇), $5590 ◆ ★"
42,NVIDIA RTX3050-6GB,"INNO3D RTX3050 6GB TWIN X2(1470MHz/22cm/雙風扇/註四年), $5488 ◆ ★"
43,NVIDIA RTX3050-8GB,"微星 RTX3050 AERO ITX 8G OCV1(1807MHz/17cm/單風扇/註冊四年保)限時活動, $6890 ◆ ★"
44,NVIDIA RTX3050-8GB,"微星 RTX3050 VENTUS 2X XS 8G OC(1807MHz/21cm/雙風扇/註冊四年保), $6990 ◆ ★ ↓任搭100↓"
45,NVIDIA RTX3050-8GB,"ZOTAC RTX3050 ECO SOLO(1777MHz/15cm/單風扇/註冊四年保)*加送ZOTAC 鼠墊, $6390 ◆ ★ 熱賣"
46,NVIDIA RTX3050-8GB,"INNO3D RTX3050 TWIN X2(1777MHZ/24cm/超頻雙風扇/註冊四年保), $6488 ◆ ★"
47,NVIDIA RTX3060-12GB,"微星 RTX3060 VENTUS 2X 12G OC(1807MHz/23.5cm/雙風扇/註冊四年), $8990 ◆ ★"
48,NVIDIA RTX4060-8GB,"技嘉 RTX4060 D6 8G(2460MHz/17cm/單風扇/註冊四年), $9690 ◆ ★"
49,NVIDIA RTX4060-8GB,"微星 RTX4060 CYCLONE 8G OC 金螳螂(2505MHz/16.3cm/螳螂扇) 全台唯一, $9690 ◆ ★ 熱賣"
50,NVIDIA RTX4060Ti-8GB,"華碩 DUAL-RTX4060TI-O8G-EVO(2595MHz/23cm/雙風扇/註四年)鋁合金背板, $13690 ◆ ★"
51,NVIDIA RTX4060Ti-8GB,"微星 RTX4060Ti VENTUS 2X BLACK 16G OC(2625MHz/20cm/雙風扇/註四年), $14890 ◆ ★"
52,NVIDIA RTX4070 SUPER 12GB,"技嘉 RTX4070 SUPER WINDFORCE OC 12G(2505MHz/26cm/註冊四年), $21990 ★ 熱賣"
53,NVIDIA RTX5060-8GB(GDDR7),"華碩 DUAL-RTX5060-O8G(2565MHz/23cm/雙風扇/註冊四年)*金屬背板, $10990 ◆ ★ 熱賣"
54,NVIDIA RTX5060-8GB(GDDR7),"華碩 PRIME-RTX5060-O8G(2595MHz/27cm/三風扇/註冊五年)*金屬背板, $11990 ◆ ★"
55,NVIDIA RTX5060-8GB(GDDR7),"華碩 TUF-RTX5060-O8G-GAMING(2692MHz/31cm/三風扇/註五年)金屬背板 缺,列價格供參考, $12990 ◆ ★"
56,NVIDIA RTX5060-8GB(GDDR7),"技嘉 RTX5060 WINDFORCE 8G(2497MHz/20cm/雙風扇/註冊四年), $10990 ◆ ★ 熱賣"
57,NVIDIA RTX5060-8GB(GDDR7),"技嘉 RTX5060 WINDFORCE OC 8G(2512MHz/20cm/雙風扇/註冊四年), $11290 ◆ ★"
58,NVIDIA RTX5060-8GB(GDDR7),"技嘉 RTX5060 OC Low Profile 8G(2512MHz/19cm/三風扇/註冊四年), $11990 ◆ ★"
59,NVIDIA RTX5060-8GB(GDDR7),"技嘉 RTX5060 EAGLE OC 8G(2550MHz/21cm/雙風扇/註冊五年), $11890 ◆ ★"
60,NVIDIA RTX5060-8GB(GDDR7),"技嘉 RTX5060 EAGLE OC ICE 8G 白(2550MHz/21cm/雙風扇/註五年/銀白) 缺,供參考, $12290 ◆ ★"
61,NVIDIA RTX5060-8GB(GDDR7),"技嘉 RTX5060 GAMING OC 8G(2595MHz/28cm/三風扇/註冊五年), $12590 ◆ ★"
62,NVIDIA RTX5060-8GB(GDDR7),"技嘉 RTX5060 AERO OC 8G(2595MHz/28cm/三風扇/註冊五年/銀白) 缺,列價格供參考, $12990 ◆ ★"
63,NVIDIA RTX5060-8GB(GDDR7),"技嘉 AORUS RTX5060 ELITE 8G(2722MHz/33cm/三風扇/註冊五年), $13290 ◆ ★"
64,NVIDIA RTX5060-8GB(GDDR7),"微星 RTX5060 8G VENTUS 2X OC(2535MHz/20cm/雙風扇/註冊四年), $10990 ◆ ★"
65,NVIDIA RTX5060-8GB(GDDR7),"微星 RTX5060 8G VENTUS 3X OC(2550MHz/31cm/三風扇/註冊五年), $11990 ◆"
66,NVIDIA RTX5060-8GB(GDDR7),"微星 RTX5060 8G GAMING TRIO OC(2640MHz/30cm/三風扇/註冊五年), $12990 ◆ ★"
67,NVIDIA RTX5060-8GB(GDDR7),"微星 RTX5060 8G GAMING TRIO OC WHITE(2640MHz/30cm/三風扇/註冊五年), $13500 ◆"
68,NVIDIA RTX5060-8GB(GDDR7),"INNO3D RTX5060 8GB TWIN X2(2497MHz/25cm/註四年/雙風扇), $10990 ◆ ★"
69,NVIDIA RTX5060Ti-8GB(GDDR7),"華碩 DUAL-RTX5060TI-O8G(2632MHz/23cm)首批優惠.售完調回.限購一片-原價14590, $13790 ◆ ★"
70,NVIDIA RTX5060Ti-8GB(GDDR7),"華碩 PRIME-RTX5060TI-8G(2602MHz/31cm/三風扇/註冊五年保固)*限購一片, $14990 ◆ ★"
71,NVIDIA RTX5060Ti-8GB(GDDR7),"華碩 PRIME-RTX5060TI-O8G(2647MHz/31cm/三風扇/註冊五年保固), $15990 ◆ ★"
72,NVIDIA RTX5060Ti-8GB(GDDR7),"華碩 TUF-RTX5060TI-O8G-GAMING(2692MHz/30cm/三風扇/註冊五年保固)*限購一片, $16990 ◆ ★"
73,NVIDIA RTX5060Ti-8GB(GDDR7),"技嘉 RTX5060Ti WINDFORCE 8G(2572MHz/21cm/雙風扇/註冊四年保)*限購一片, $13790 ◆ ★"
74,NVIDIA RTX5060Ti-8GB(GDDR7),"技嘉 RTX5060Ti WINDFORCE OC 8G(2587MHz/21cm/雙風扇/註冊四年保)*限購一片, $13790 ◆ ★"
75,NVIDIA RTX5060Ti-8GB(GDDR7),"技嘉 RTX5060Ti EAGLE OC 8G(2617MHz/22cm/雙風扇/註冊五年保)*限購一片, $14990 ◆ ★"
76,NVIDIA RTX5060Ti-8GB(GDDR7),"技嘉 RTX5060Ti EAGLE OC ICE 8G 白(2617MHz/22cm/雙風扇/註冊五年保)*限購一片, $15490 ◆ ★"
77,NVIDIA RTX5060Ti-8GB(GDDR7),"技嘉 RTX5060Ti GAMING OC 8G(2647MHz/28cm/三風扇/註冊五年保)*限購一片, $15990 ◆ ★"
78,NVIDIA RTX5060Ti-8GB(GDDR7),"技嘉 RTX5060Ti AERO OC 8G 白(2647MHz/28cm/三風扇/註冊五年保)*限購一片, $16490 ◆ ★"
79,NVIDIA RTX5060Ti-8GB(GDDR7),"微星 RTX5060Ti 8G VENTUS 2X PLUS(2587MHz/23cm/雙風扇/註四年)*限購一片, $13790 ◆ ★"
80,NVIDIA RTX5060Ti-8GB(GDDR7),"微星 RTX5060Ti 8G VENTUS 2X OC PLUS(2617MHz/23cm/雙風扇/註四年), $14500 ◆ ★"
81,NVIDIA RTX5060Ti-8GB(GDDR7),"微星 RTX5060Ti 8G CYCLONE OC 螳螂【獨家】(/註五年)*加送GM20 ELITE電競鼠, $14500"
82,NVIDIA RTX5060Ti-8GB(GDDR7),"微星 RTX5060Ti 8G VENTUS 3X OC(2617MHz/31cm/三風扇/註五年)*限購一片, $14990 ◆ ★"
83,NVIDIA RTX5060Ti-8GB(GDDR7),"微星 RTX5060Ti 8G GAMING TRIO OC(2662MHz/30cm/三風扇/註五年)*限購一片, $15990 ◆ ★"
84,NVIDIA RTX5060Ti-8GB(GDDR7),"微星 RTX5060Ti 8G GAMING TRIO OC WHITE 白(2662MHz/30cm/三風扇)*限購一片, $16990 ◆ ★"
85,NVIDIA RTX5060Ti-8GB(GDDR7),"ZOTAC RTX5060Ti 8GB Twin Edge(2572MHz/22cm/雙風扇/註冊五年保), $13790 ◆ ★"
86,NVIDIA RTX5060Ti-8GB(GDDR7),"ZOTAC RTX5060Ti 8GB Twin Edge OC(2602MHz/22cm/雙風扇/註冊五年保), $14490 ◆ ★ 熱賣"
87,NVIDIA RTX5060Ti-8GB(GDDR7),"INNO3D RTX5060Ti 8GB TWIN X2(2572MHz/25cm/註四年/雙風扇)*限購一片, $13790 ◆ ★"
88,NVIDIA RTX5060Ti-8GB(GDDR7),"INNO3D RTX5060Ti 8GB TWIN X2 OC(2602MHz/25cm/註四年/雙風扇)*限購一片, $14488 ◆ ★"
89,NVIDIA RTX5060Ti-8GB(GDDR7),"INNO3D RTX5060Ti 8GB TWIN X2 OC WHITE(2602MHz/25cm/註四年/雙風扇/映雪), $14888 ◆ ★"
90,NVIDIA RTX5060Ti-16GB(GDDR7),"華碩 PRIME-RTX5060TI-O16G(2647MHz/31cm/三風扇/註冊五年保固)*限購一片, $17990 ◆ ★"
91,NVIDIA RTX5060Ti-16GB(GDDR7),"技嘉 RTX5060Ti EAGLE OC 16G(2617MHz/22cm/雙風扇/註冊五年保)*限購一片, $16990 ◆ ★"
92,NVIDIA RTX5060Ti-16GB(GDDR7),"技嘉 RTX5060Ti GAMING OC 16G(2647MHz/28cm/三風扇/註五年)*限購一片, $17990 ◆ ★"
93,NVIDIA RTX5060Ti-16GB(GDDR7),"微星 RTX5060Ti 16G VENTUS 2X OC PLUS(2617MHz/23cm/雙風扇/註四年)*限購一片, $16990 ◆ ★"
94,NVIDIA RTX5060Ti-16GB(GDDR7),"微星 RTX5060Ti 16G VENTUS 3X OC(2617MHz/31cm/三風扇/註五年)*限購一片, $17590 ◆ ★"
95,NVIDIA RTX5060Ti-16GB(GDDR7),"微星 RTX5060Ti 16G GAMING TRIO OC(2662MHz/30cm/三風扇/註五年)*限購一片, $17990 ◆ ★"
96,NVIDIA RTX5060Ti-16GB(GDDR7),"微星 RTX5060Ti 16G GAMING TRIO OC WHITE 白(2662MHz/30cm/三風扇)*限購一片, $18590 ◆ ★"
97,NVIDIA RTX5060Ti-16GB(GDDR7),"微星 RTX5060Ti 16G VANGUARD SOC(2707MHz/34cm/三風扇/註五年)*限購一片, $18990 ◆ ★"
98,NVIDIA RTX5060Ti-16GB(GDDR7),"ZOTAC RTX5060Ti 16GB Twin Edge(2572MHz/22cm/雙風扇/註冊五年保), $15590 ◆ ★"
99,NVIDIA RTX5060Ti-16GB(GDDR7),"ZOTAC RTX5060Ti 16GB Twin Edge OC(2602MHz/22cm/雙風扇/註冊五年保), $16490 ◆ ★ 熱賣"
100,NVIDIA RTX5060Ti-16GB(GDDR7),"INNO3D RTX5060Ti 16GB TWIN X2(2572MHz/25cm/註四年/雙風扇)*限購一片, $15590 ◆ ★"
101,NVIDIA RTX5070-12GB(GDDR7),❤ [Game Bundle] 購買 RTX5070以上登錄送《毀滅戰士：黑暗時代》豪華版 (4/30~5/22)
102,NVIDIA RTX5070-12GB(GDDR7),"華碩 DUAL-RTX5070-O12G(2572MHz/25cm/雙風扇/註四年)限購一片, $19990 ◆ ★"
103,NVIDIA RTX5070-12GB(GDDR7),"華碩 PRIME-RTX5070-12G(2542MHz/31cm/三風扇/註冊五年保), $22990 ◆ ★ 熱賣"
104,NVIDIA RTX5070-12GB(GDDR7),"華碩 PRIME-RTX5070-O12G(2587MHz/31cm/三風扇/註冊五年保), $23990 ◆ ★"
105,NVIDIA RTX5070-12GB(GDDR7),"華碩 TUF-RTX5070-O12G-GAMING(2640MHz/33cm/三風扇/註五年)HDMI*2, $25990 ◆ ★ 熱賣 ↓任搭100↓"
106,NVIDIA RTX5070-12GB(GDDR7),"華碩 ROG-STRIX-RTX5070-O12G-GAMING(2685MHz/33cm/三風扇/註五年)到貨不多.限購一片, $28990 ◆ ★"
107,NVIDIA RTX5070-12GB(GDDR7),"技嘉 RTX5070 WINDFORCE SFF 12G(2512MHz/29cm/註冊四年保)到貨不多.限購一片, $19990 ◆ ★ 熱賣"
108,NVIDIA RTX5070-12GB(GDDR7),"技嘉 RTX5070 WINDFORCE OC SFF 12G(2542MHz/29cm/三風扇/註四年), $20990 ◆ ★"
109,NVIDIA RTX5070-12GB(GDDR7),"技嘉 RTX5070 EAGLE OC SFF 12G(2587MHz/29cm/三風扇/註五年)到貨不多.限購一片, $21990 ◆ ★"
110,NVIDIA RTX5070-12GB(GDDR7),"技嘉 RTX5070 EAGLE OC ICE SFF 12G(2587MHz/29cm/三風扇/註五年/冰魄白).限購一片, $22990 ◆ ★"
111,NVIDIA RTX5070-12GB(GDDR7),"技嘉 RTX5070 GAMING OC 12G(2625MHz/33cm/三風扇/註五年)到貨不多.限購一片, $23990 ◆ ★"
112,NVIDIA RTX5070-12GB(GDDR7),"技嘉 RTX5070 AERO OC 12G(2625MHz/33cm/三風扇/註五年)到貨不多.限購一片, $24990 ◆ ★"
113,NVIDIA RTX5070-12GB(GDDR7),"技嘉 AORUS RTX5070 MASTER 12G(2715MHz/32cm/三風扇/註五年)到貨不多.限購一片, $25990 ◆ ★"
114,NVIDIA RTX5070-12GB(GDDR7),"微星 RTX5070 12G SHADOW 2X OC(2557MHz/24cm/雙風扇/註四年)限購一片, $19990 ◆ ★"
